keys,zh_CN,en
NPC_MIRA_HINT_FOOD,"西边苔缘还有可摘的暮果。","There are duskberries on the west moss rim."
NPC_MIRA_HINT_HEAT,"夜里会冷。维什知道哪里有旧合金。","Nights get cold. Vesh knows where old alloy sits."
NPC_MIRA_HINT_ROWAN,"罗文今天缺水。奥里守着蓄水器。","Rowan needs water today. Ori keeps the reservoir."
NPC_MIRA_REMEMBERS,"你昨天来过。摊位还留着你的位置。","You came yesterday. The stall still keeps your place."
NPC_ROWAN_NEEDS_WATER,"我走不动了。先去蓄水器。","I cannot walk that far. Start at the reservoir."
NPC_ROWAN_WARY,"别空着手过来。","Do not come empty-handed."
NPC_ROWAN_REMEMBERS,"你送来过水。我不会忘。","You brought water. I will not forget."
NPC_TAVI_HINT_FOOD,"西边岩脚有暮果。别空手回家。","Duskberries sit at the west rocks. Do not go home empty."
NPC_TAVI_SETTLED,"果子够了就去休息。","If you have enough fruit, go rest."
NPC_VESH_HINT_SCRAP,"南边采集带有旧补片。加热器吃这个。","Old patches lie on the south forage strip. The heater eats those."
NPC_VESH_SETTLED,"零件齐了就去炉边。","If you have the parts, go to the furnace."
NPC_ORI_HINT_WATER,"蓄水器在我身后。装满再去找罗文。","The reservoir is behind me. Fill it, then find Rowan."
NPC_ORI_SETTLED,"水已经在你身上。去罗文那里。","The water is already with you. Go to Rowan."
NPC_REPLY_VOICE,"%s：“%s”","%s: “%s”"
NPC_REPLY_GESTURE,"%s 看懂了你的手势。你随时可以免费重试英语。","%s understands your gesture. You can retry English at no cost."
NPC_REPLY_OBSERVE,"靠近居民后使用“说话”，或选择“手势”确认。","Use Speak near a resident, or choose Gesture."
MSG_SLEEP_BLOCKED,"今天还有重要的事没有完成。","There is still something important to do today."
MSG_SLEEP_NEED_MIRA,"先去和市场的米拉打个招呼。","Greet Mira at the market first."
MSG_SLEEP_NEED_FOOD,"带两份暮果回来再睡。","Bring back two duskberries before you sleep."
MSG_SLEEP_NEED_HEATER,"今晚太冷。先修好加热器。","It is too cold tonight. Repair the heater first."
MSG_SLEEP_NEED_ROWAN,"罗文还在等水。睡不着。","Rowan is still waiting for water. You cannot sleep yet."
MSG_FAINTED,"你昏倒后被送回庇护所。时间流逝了，但关系没有受损。","You were carried back to the shelter. Time passed, but no relationship was harmed."
MSG_SAVE_FAILED,"无法保存进度，但可以继续本次游戏。","Progress could not be saved, but this run can continue."
MSG_NEAR_NPC_TO_SPEAK,"靠近一位居民后使用“说话”输入；也可直接使用手势。","Move near a resident and use Speak; Gesture is always available."
MSG_SPEECH_BUSY,"语音输入正忙；可以取消等待或使用手势继续。","Speech input is busy; cancel the wait or continue with Gesture."
MEMORY_GREET_MIRA,"在第一天主动表达了善意","Offered kindness on the first day"
MEMORY_HELP_ROWAN,"缺水时送来了一壶水","Brought water when it was needed"
VOICE_REASON_MIC_UNAVAILABLE,"麦克风暂不可用；可以使用手势继续。","The microphone is unavailable; continue with Gesture."
VOICE_REASON_TOO_SHORT,"没有录到足够的声音；可以重试或使用手势。","Not enough audio was captured; retry or use Gesture."
VOICE_REASON_SAVE_FAILED,"这次录音没有保存下来；可以重试或使用手势。","The recording could not be saved; retry or use Gesture."
VOICE_REASON_READ_FAILED,"这次录音无法读取；可以重试或使用手势。","The recording could not be read; retry or use Gesture."
VOICE_REASON_SERVICE_UNAVAILABLE,"本地语音暂不可用；可以免费重试或使用手势。","Local speech is unavailable; retry at no cost or use Gesture."
VOICE_REASON_RESULT_INVALID,"没有读懂这次结果；可以免费重试或使用手势。","The result could not be understood; retry at no cost or use Gesture."
VOICE_REASON_CLARIFY,"可以免费重试，或使用手势继续。","Retry at no cost, or continue with Gesture."
VOICE_REASON_LENGTH,"录音为空或过长；可以重试或使用手势。","The recording was empty or too long; retry or use Gesture."
VOICE_REASON_ACCEPTED,"已识别表达意图。","Intent recognized."
NEARBY_RESIDENT,"附近的居民","Nearby resident"
VOICE_FINISH_HOLD,"松开发送","Release to send"
VOICE_FINISH_TOGGLE,"再次按下发送","Press again to send"
VOICE_LISTENING,"%s · 正在听 %04.1f / 15.0 秒","%s · Listening %04.1f / 15.0 s"
VOICE_LISTENING_ACTIONS,"[%s] %s · [%s] 手势 · [%s] 取消","[%s] %s · [%s] Gesture · [%s] Cancel"
VOICE_TRANSCRIBING,"%s · 正在理解你的表达","%s · Understanding your expression"
VOICE_TRANSCRIBING_ACTIONS,"无需等待：[%s] 可改用手势 · [%s] 取消","No need to wait: [%s] use Gesture · [%s] Cancel"
VOICE_ACCEPTED,"%s · 对方听懂了","%s · They understood"
VOICE_HEARD,"听到：“%s”","Heard: “%s”"
VOICE_UNAVAILABLE,"%s · 麦克风暂不可用","%s · Microphone unavailable"
VOICE_CLARIFY,"%s · 没听清，没关系","%s · That was not clear, and that is okay"
VOICE_RECOVERY_ACTIONS,"[%s] 免费重试 · [%s] 使用手势 · [%s] 取消","[%s] Retry free · [%s] Use Gesture · [%s] Cancel"
TOAST_INFO,"提示","INFO"
TOAST_DONE,"完成","DONE"
TOAST_WARNING,"注意","WARNING"
DAY_LABEL,"第 %d 天","DAY %d"
DAY_TWO_BODY,"晨光落在陌生屋顶上。你已经认得一条回家的路。","Morning light falls across unfamiliar roofs. One path now feels like home."
DAY_THREE_BODY,"聚落不再只是一张地图。有人开始期待你回来。","The settlement is no longer just a map. Someone expects you to return."
DAY_SKIP_HINT,"按确认或返回跳过","Confirm or cancel to skip"
PAUSE_TITLE,"异乡人 / STRANGER","STRANGER / 异乡人"
PAUSE_SUBTITLE,"暂停 · 辅助设置即时生效","PAUSED · Accessibility changes apply immediately"
BTN_RESUME,"继续游戏","Resume"
SETTING_REDUCE_MOTION,"减少动态：%s","Reduce Motion: %s"
SETTING_UI_SCALE,"界面缩放：%d%%","HUD Scale: %d%%"
SETTING_SPEECH_MODE,"说话方式：%s","Speech Mode: %s"
SETTING_ON,"开启","On"
SETTING_OFF,"关闭","Off"
SETTING_HOLD,"按住","Hold"
SETTING_TOGGLE,"切换","Toggle"
BTN_CONTROLS,"输入重映射","Input Remapping"
PAUSE_NAV_HINT,"方向键、手柄或 Tab 选择 · 确认 · 返回","Use arrows, gamepad, or Tab · Confirm · Back"
COMPLETE_TITLE,"你在异乡有了第一个立足点","You found your first foothold"
COMPLETE_BODY,"你活过了三天，也第一次被这里的人称作朋友。\n《异乡人 / Stranger》纵向切片完成。","You survived three days, and someone here called you a friend.\nStranger vertical slice complete."
BTN_COMPLETE_CONTINUE,"继续留在聚落","Stay in the settlement"
BTN_RESTART,"重新开始三日切片","Restart the three-day slice"
BTN_RESTART_CONFIRM,"再次确认：清除本次进度","Confirm again: clear this run"
BTN_RESTART_CANCEL,"返回，不重新开始","Go back without restarting"
REMAP_TITLE,"输入重映射","Input Remapping"
REMAP_INSTRUCTIONS,"选择一个动作，然后按下新的输入。冲突会要求再次确认交换。","Choose an action, then press a new input. Conflicts require a second confirmation to swap."
REMAP_PRESS_KEY,"请按新的键；按返回可取消。","Press a new key; use Back to cancel."
REMAP_PRESS_GAMEPAD,"请按新的手柄按键或推动摇杆；按返回可取消。","Press a gamepad button or move a stick; use Back to cancel."
REMAP_LISTENING,"等待输入…","Listening…"
REMAP_CONFLICT_CONFIRM,"该输入已用于“%s”。再次按下 %s 以确认交换。","That input is used by “%s”. Press %s again to confirm the swap."
REMAP_SAVED,"新绑定已保存。","New binding saved."
REMAP_RESET,"恢复默认","Restore Defaults"
REMAP_RESET_CONFIRM,"再次确认：恢复默认","Confirm: Restore Defaults"
REMAP_RESET_WARNING,"恢复默认会替换当前自定义绑定；焦点已移到返回按钮。","Restoring defaults replaces custom bindings; focus moved to Back."
REMAP_RESET_DONE,"已恢复默认绑定。","Default bindings restored."
REMAP_CLOSE,"返回暂停菜单","Back to Pause Menu"
REMAP_ACTION,"动作","Action"
REMAP_KEYBOARD,"键盘","Keyboard"
REMAP_GAMEPAD,"手柄","Gamepad"
ACTION_MOVE_FORWARD,"向前移动","Move Forward"
ACTION_MOVE_BACK,"向后移动","Move Back"
ACTION_MOVE_LEFT,"向左移动","Move Left"
ACTION_MOVE_RIGHT,"向右移动","Move Right"
ACTION_CAMERA_UP,"镜头向上","Camera Up"
ACTION_CAMERA_DOWN,"镜头向下","Camera Down"
ACTION_CAMERA_LEFT,"镜头向左","Camera Left"
ACTION_CAMERA_RIGHT,"镜头向右","Camera Right"
ACTION_JUMP,"跳跃","Jump"
ACTION_SPRINT,"冲刺","Sprint"
ACTION_INTERACT,"互动 / 观察","Interact / Observe"
ACTION_SPEAK,"说话","Speak"
ACTION_GESTURE,"手势","Gesture"
ACTION_CANCEL,"取消 / 返回","Cancel / Back"
ACTION_PAUSE,"暂停","Pause"
NPC_MIRA,"米拉 / Mira","Mira / 米拉"
NPC_ROWAN,"罗文 / Rowan","Rowan / 罗文"
NPC_TAVI,"塔维 / Tavi","Tavi / 塔维"
NPC_VESH,"维什 / Vesh","Vesh / 维什"
NPC_ORI,"奥里 / Ori","Ori / 奥里"
ITEM_BERRY,"蓝莓果","Duskberry"
ITEM_SCRAP,"合金零件","Alloy Part"
STATION_RESERVOIR,"聚落蓄水器","Settlement Reservoir"
STATION_HEATER,"旧加热器","Old Heater"
STATION_SHELTER,"你的庇护所","Your Shelter"
PROMPT_NPC_NO_VOICE,"%s\n[%s] 手势 · [%s] 观察","%s\n[%s] Gesture · [%s] Observe"
WEB_BETA_NO_VOICE_NOTICE,"首轮网页内测暂不包含语音；请用 [G] 手势与居民交流。","This web beta does not include voice; use [G] Gesture to talk to residents."
BTN_SURVEY,"填写内测问卷","Fill in the beta survey"
WEB_SAVE_NOTE,"进度保存在当前浏览器本地；清除站点数据会重置进度。","Progress is saved in this browser only; clearing site data resets it."
WEB_SURVEY_OPEN_FAILED,"问卷链接暂时打不开，请稍后再试。","The survey link could not be opened right now. Please try again."
DESKTOP_NO_VOICE_NOTICE,"首轮桌面内测暂不包含语音；请用 [G] 手势与居民交流。","This desktop beta does not include voice; use [G] Gesture to talk to residents."
DESKTOP_SAVE_NOTE,"进度保存在本机用户目录；卸载或删除应用数据会重置进度。","Progress is saved in this computer's user directory; removing the app or its data resets it."
